gid,depth,is_seed,cluster_id,component_id,in_degree,out_degree,incoming_sum,incoming_tx_count,outgoing_sum,outgoing_tx_count,pass_ratio,is_boundary,is_isolated,pagerank,betweenness,external_clusters,n_seed_reachable,min_seed_distance,matched_2d_kzt,fast_flow_ratio,same_day_senders,data_warning,role,role_score,coordinator_score,consolidator_score,distributor_score,transit_score,terminal_score,priority_money,priority_structure,priority_seed,priority_role,priority_score,evidence,why
100000000011452100,1,False,0,0,3,1,110000.0,7,16685.0,2,0.1516818181818182,False,False,0.00048724516304627757,3.368496473580486e-06,1,1,1,16685.0,0.1516818181818182,1,,consolidator,0.914648,0.0,0.914647552130553,0.0,0.0,0.0,0.6195603409600717,0.37811561124085624,0.29,0.914647552130553,0.567059,"Признаки сбора: 3 отправителей; вход 110,000.00 KZT; получателей 1.","Признаки сбора: 3 отправителей; вход 110,000.00 KZT; получателей 1. Приоритет: поток=0.62; структура=0.38; seed-связи=0.29; сила роли=0.91."
100000000018102100,4,False,0,0,1,0,7000.0,1,0.0,0,0.0,True,False,0.00031863672796938997,0.0,0,1,4,0.0,0.0,1,Граница depth=4; исходящие не наблюдаются полностью,peripheral,0.15,0.0,0.0,0.0,0.0,0.0,0.03768506056527591,0.18753399818676336,0.19999999999999998,0.0,0.08837,"Выраженных критериев ролей нет: отправителей 1, получателей 0; требуется проверка. Граница depth=4: исходящие обрезаны.","Выраженных критериев ролей нет: отправителей 1, получателей 0; требуется проверка. Граница depth=4: исходящие обрезаны. Приоритет: поток=0.04; структура=0.19; seed-связи=0.20; сила роли=0.00."
100000000031787100,2,False,10,0,1,2,90000.0,2,90000.0,4,1.0,False,False,0.00042887213352741353,3.962937027741748e-07,0,1,2,40000.0,0.4444444444444444,1,,transit,0.893056,0.0,0.0,0.0,0.8930555555555556,0.0,0.6859578286227007,0.27424556945165485,0.24,0.8930555555555556,0.545613,Признаки транзита: выход/вход=1.00; совместимо за 0–2 дня 44% входа.,Признаки транзита: выход/вход=1.00; совместимо за 0–2 дня 44% входа. Приоритет: поток=0.69; структура=0.27; seed-связи=0.24; сила роли=0.89.
100000000041368100,1,False,3,0,1,0,160000.0,1,0.0,0,0.0,False,False,0.0003158158377848198,0.0,0,4,1,0.0,0.0,1,,terminal,0.763826,0.0,0.0,0.0,0.0,0.7638259292837716,0.664423508299686,0.18102901178603806,0.71,0.7638259292837716,0.577541,"Наблюдаемый сток: вход 160,000.00 KZT; выход/вход=0.00; depth=1. Не полный баланс.","Наблюдаемый сток: вход 160,000.00 KZT; выход/вход=0.00; depth=1. Не полный баланс. Приоритет: поток=0.66; структура=0.18; seed-связи=0.71; сила роли=0.76."
100000000076451100,2,False,15,0,3,4,87707.0,4,58000.0,4,0.661292713238396,False,False,0.0013836360118544804,9.76863977338341e-05,0,3,2,5000.0,0.05700799252055138,2,,consolidator,0.881667,0.0,0.8816668825281699,0.0,0.0,0.0,0.6401973979362943,0.8233431890866767,0.52,0.8816668825281699,0.722312,"Признаки сбора: 3 отправителей; вход 87,707.00 KZT; получателей 4.","Признаки сбора: 3 отправителей; вход 87,707.00 KZT; получателей 4. Приоритет: поток=0.64; структура=0.82; seed-связи=0.52; сила роли=0.88."
100000000089154100,1,False,0,0,1,15,10000.0,1,425500.0,21,42.55,False,False,0.000285899166475722,0.00010895478461069692,5,1,1,10000.0,1.0,1,Исходящие больше наблюдаемых входящих; полный баланс неизвестен,distributor,0.942953,0.0,0.0,0.9429529899135447,0.0,0.0,0.8349035441902198,0.5046301860005419,0.29,0.9429529899135447,0.670367,"Признаки распределения: 15 получателей; выход 425,500.00 KZT; отправителей 1.","Признаки распределения: 15 получателей; выход 425,500.00 KZT; отправителей 1. Приоритет: поток=0.83; структура=0.50; seed-связи=0.29; сила роли=0.94."
100000000190228100,2,False,2,0,1,1,5000.0,1,28560.0,1,5.712,False,False,0.000578557764187896,2.159800680119253e-05,0,3,2,0.0,0.0,1,Исходящие больше наблюдаемых входящих; полный баланс неизвестен,peripheral,0.35,0.0,0.0,0.0,0.0,0.0,0.32884701659937193,0.6053001224464467,0.52,0.0,0.353979,"Выраженных критериев ролей нет: отправителей 1, получателей 1; требуется проверка.","Выраженных критериев ролей нет: отправителей 1, получателей 1; требуется проверка. Приоритет: поток=0.33; структура=0.61; seed-связи=0.52; сила роли=0.00."
100000000201868100,2,False,54,0,1,1,190000.0,1,190000.0,1,1.0,False,False,0.0009675202953304014,0.0,0,1,2,190000.0,1.0,1,,transit,0.945,0.0,0.0,0.0,0.9450000000000001,0.0,0.8153880663974876,0.33223028105167723,0.24,0.9450000000000001,0.611924,Признаки транзита: выход/вход=1.00; совместимо за 0–2 дня 100% входа.,Признаки транзита: выход/вход=1.00; совместимо за 0–2 дня 100% входа. Приоритет: поток=0.82; структура=0.33; seed-связи=0.24; сила роли=0.95.
100000000254336100,3,False,0,0,2,1,97177.0,2,60000.0,1,0.6174300503205491,False,False,0.0002903571630695892,1.922024458454748e-05,0,2,3,60000.0,0.6174300503205491,1,,peripheral,0.35,0.0,0.0,0.0,0.0,0.0,0.6621803499327052,0.2612137636465732,0.355,0.0,0.334958,"Выраженных критериев ролей нет: отправителей 2, получателей 1; требуется проверка.","Выраженных критериев ролей нет: отправителей 2, получателей 1; требуется проверка. Приоритет: поток=0.66; структура=0.26; seed-связи=0.35; сила роли=0.00."
100000000267734100,1,False,10,0,2,7,180000.0,4,282000.0,8,1.5666666666666667,False,False,0.0005339010094400214,3.5666433249675733e-06,0,1,1,40000.0,0.2222222222222222,1,Исходящие больше наблюдаемых входящих; полный баланс неизвестен,distributor,0.902894,0.0,0.0,0.9028938520653218,0.0,0.0,0.8488111260655002,0.3987823086831029,0.29,0.9028938520653218,0.638062,"Признаки распределения: 7 получателей; выход 282,000.00 KZT; отправителей 2.","Признаки распределения: 7 получателей; выход 282,000.00 KZT; отправителей 2. Приоритет: поток=0.85; структура=0.40; seed-связи=0.29; сила роли=0.90."
