rank,gid,role,priority_score,why
1,100000003684369100,coordinator,0.991214,Структурный посредник: betweenness=0.002303; внешних кластеров 9; достижим от 6 seed. Seed: входящие неполны. Приоритет: поток=1.00; структура=0.98; seed-связи=1.00; сила роли=0.99.
2,100000000343175100,distributor,0.945187,"Признаки распределения: 31 получателей; выход 4,000,039.00 KZT; отправителей 8. Seed: входящие неполны. Приоритет: поток=0.99; структура=0.93; seed-связи=0.86; сила роли=0.97."
3,100000003016635100,distributor,0.937677,"Признаки распределения: 73 получателей; выход 9,414,081.00 KZT; отправителей 8. Seed: входящие неполны. Приоритет: поток=1.00; структура=0.99; seed-связи=0.72; сила роли=0.99."
4,100000006866783100,distributor,0.931504,"Признаки распределения: 67 получателей; выход 3,948,037.00 KZT; отправителей 13. Seed: входящие неполны. Приоритет: поток=0.99; структура=0.98; seed-связи=0.72; сила роли=0.98."
5,100000008165763100,consolidator,0.929294,"Признаки сбора: 15 отправителей; вход 1,165,815.00 KZT; получателей 17. Приоритет: поток=0.98; структура=0.91; seed-связи=0.85; сила роли=0.96."
6,100000008346837100,coordinator,0.9266,Структурный посредник: betweenness=0.008981; внешних кластеров 7; достижим от 6 seed. Приоритет: поток=0.95; структура=0.94; seed-связи=0.80; сила роли=0.98.
7,100000000331309100,distributor,0.92415,"Признаки распределения: 99 получателей; выход 23,001,375.00 KZT; отправителей 5. Приоритет: поток=1.00; структура=0.97; seed-связи=0.66; сила роли=1.00."
8,100000008603629100,coordinator,0.923802,Структурный посредник: betweenness=0.005761; внешних кластеров 9; достижим от 4 seed. Приоритет: поток=1.00; структура=0.98; seed-связи=0.66; сила роли=0.99.
9,100000003115284100,consolidator,0.922627,"Признаки сбора: 8 отправителей; вход 2,160,500.00 KZT; получателей 2. Приоритет: поток=0.98; структура=0.85; seed-связи=0.85; сила роли=0.98."
10,100000004156082100,distributor,0.918642,"Признаки распределения: 26 получателей; выход 2,319,556.00 KZT; отправителей 5. Приоритет: поток=0.98; структура=0.96; seed-связи=0.71; сила роли=0.97."
